date,sentiment,total_volume,total_pnl,trade_count
2024-11-17,Extreme Greed,118664.53501,882.975285,209
2024-11-18,Extreme Greed,762850.39811,4470.815187,346
2024-11-19,Extreme Greed,617141.86239,2958.268991,305
2024-11-20,Extreme Greed,3357149.9662699997,4210.0928969999995,550
2024-11-21,Extreme Greed,6327019.74521,1692.430891,535
2024-11-22,Extreme Greed,6863952.50785,-18105.345617,679
2024-11-23,Extreme Greed,1853295.87574,2901.531638,363
2024-11-24,Extreme Greed,354313.50949,945.550386,172
2024-11-25,Extreme Greed,531097.97884,5523.740734,255
2024-11-26,Extreme Greed,2007687.4917,1094.809359,302
2024-11-27,Extreme Greed,384052.49735,-2654.495633,213
2024-11-28,Extreme Greed,30569.13728,-127075.39958499999,332
2024-11-29,Extreme Greed,683964.22416,176844.994152,393
2024-11-30,Extreme Greed,271197.97742435,37316.69352,373
2024-12-01,Extreme Greed,3560119.23642001,40886.364494,416
2024-12-02,Extreme Greed,210965.83884,18489.604313,270
2024-12-03,Extreme Greed,251246.61252,23576.539285,374
2024-12-04,Extreme Greed,13484938.200452391,292891.815021,319
2024-12-05,Extreme Greed,75629.96987,71574.11848800001,456
2024-12-06,Greed,108676.63024,-92624.643895,403
2024-12-07,Extreme Greed,1291173.42509178,85906.279067,304
2024-12-08,Extreme Greed,930353.7121,15965.933436,420
2024-12-09,Extreme Greed,170346.94181,6310.967676,539
2024-12-10,Extreme Greed,2869587.4983333,39325.770231,1596
2024-12-11,Greed,371860.94751,319051.554217,1221
2024-12-12,Extreme Greed,1644131.25544,599151.795008,1932
2024-12-13,Extreme Greed,548827.41916,31935.901745,1173
2024-12-14,Extreme Greed,375074.5156657,167801.399244,1235
2024-12-15,Extreme Greed,832940.28064,97525.315279,1697
2024-12-16,Extreme Greed,163627.84630525,166774.344133,1055
2024-12-17,Extreme Greed,1563454.83822607,219591.305172,1941
2024-12-18,Extreme Greed,845985.81701106,13682.994673,1429
2024-12-19,Extreme Greed,10741588.93356383,62744.004486000005,3339
2024-12-20,Greed,1705118.67043015,254969.660039,2488
2024-12-21,Greed,140974.53887,150022.163157,1681
2024-12-22,Greed,345463.80597,352197.163973,774
2024-12-23,Greed,715969.51279,-29430.626577,2347
2024-12-24,Greed,1250239.96550993,14813.780116,338
2024-12-25,Greed,146457.6319,756.6570469999998,208
2024-12-26,Extreme Greed,638858.34855,60228.639722,697
2024-12-27,Greed,126942.29191416,2672.811035,260
2024-12-28,Greed,20079.81002,940.673623,161
2024-12-29,Greed,118786.58075,2884.067927,201
2024-12-30,Greed,185994.29871,9009.738137,304
2024-12-31,Greed,6259129.5589000005,5445.01281,306
2025-01-01,Greed,34746.99172,-9528.065345,96
2025-01-02,Greed,398599.55802,8716.519087,361
2025-01-03,Greed,380142.44466,6028.486793,508
2025-01-04,Greed,195756.23854,2553.537968,371
2025-01-05,Greed,260134.01253,3187.719363,239
2025-01-06,Extreme Greed,611516.516,6064.185393,573
2025-01-07,Extreme Greed,2132880.27843,16098.227531,637
2025-01-08,Greed,1312943.32691,130117.090554,1039
2025-01-09,Greed,384912.5035,46975.928902,522
2025-01-10,Neutral,1072005.86667,-10116.875552,819
2025-01-11,Greed,101784.5848,2269.080536,283
2025-01-12,Greed,675113.69138,5742.241803,602
2025-01-13,Greed,966689.30996,9655.429352,408
2025-01-14,Greed,122308.58172999999,16069.512355,275
2025-01-15,Greed,279128.23766,14819.5883,267
2025-01-16,Extreme Greed,274860.5318,20807.709328,371
2025-01-17,Extreme Greed,326667.15395,7006.415608,238
2025-01-18,Extreme Greed,3127473.39578,443.2330819999997,651
2025-01-19,Extreme Greed,648272.56682,87923.799302,1567
2025-01-20,Extreme Greed,1713831.28674,87277.239173,1315
2025-01-21,Extreme Greed,397160.12423,11077.839421,530
2025-01-22,Extreme Greed,2769093.11334,20524.408057,832
2025-01-23,Extreme Greed,4017172.7302,101256.24216,1218
2025-01-24,Extreme Greed,1141046.60679,10602.779738,874
2025-01-25,Extreme Greed,702069.15524,-10348.016255999999,506
2025-01-26,Greed,1943287.75,40823.466668,451
2025-01-27,Greed,2637972.50323,41331.765392,773
